date,country_name,cluster_name,contributor_name,market,Camel,Camel - Grade,Camel Price,Camel Image,Cattle,Cattle - Grade,Cattle - Price,Cattle Image,Goat,Goat - Grade,Goat - Price,Goat Image,Sheep,Sheep - Grade,Sheep Price,Sheep Image,gps_latitude,gps_longitude,gps_altitude,_review_status
2022-03-19,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Emaciated (Grade 3),2300,http://classic.ona.io/api/v1/files/25532918?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1647672569335.jpg,Yes,Moderate (Grade 2),1500,http://classic.ona.io/api/v1/files/25532919?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1647672612471.jpg,2.010345,37.50404167,562.7,Accepted
2022-04-30,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/26387342?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1651301196674.jpg,Yes,Moderate (Grade 2),1600,http://classic.ona.io/api/v1/files/26387343?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1651301231949.jpg,2.010453333,37.50393833,560.8,Accepted
2022-05-07,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/26465163?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1651903443048.jpg,Yes,Moderate (Grade 2),2800,http://classic.ona.io/api/v1/files/26465164?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1651903481436.jpg,2.010361667,37.50402833,546.2,Accepted
2022-01-22,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2100,http://classic.ona.io/api/v1/files/24424129?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1642835678378.jpg,Yes,Moderate (Grade 2),1600,http://classic.ona.io/api/v1/files/24424130?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1642835710054.jpg,2.0104119,37.5040003,482.5,Accepted
2022-03-05,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2600,http://classic.ona.io/api/v1/files/25142485?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1646462223672.jpg,Yes,Emaciated (Grade 3),1600,http://classic.ona.io/api/v1/files/25142486?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1646462259327.jpg,2.010316,37.5040234,548.9,Accepted
2022-04-30,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1300,http://classic.ona.io/api/v1/files/26387315?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1651300934380.jpg,Yes,Moderate (Grade 2),2100,http://classic.ona.io/api/v1/files/26387316?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1651300969388.jpg,2.010283333,37.50392333,560,Accepted
2022-02-12,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1600,http://classic.ona.io/api/v1/files/24753780?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1644646863772.jpg,Yes,Moderate (Grade 2),2800,http://classic.ona.io/api/v1/files/24753781?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1644646902935.jpg,2.0103722,37.5040304,518.3,Accepted
2022-01-01,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1500,http://classic.ona.io/api/v1/files/24144965?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1641015489451.jpg,Yes,Moderate (Grade 2),1300,http://classic.ona.io/api/v1/files/24144966?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1641015516206.jpg,2.0103411,37.504097,534,Accepted
2022-01-15,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),2000,http://classic.ona.io/api/v1/files/24308918?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1642258782091.jpg,Yes,Moderate (Grade 2),1700,http://classic.ona.io/api/v1/files/24308919?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1642258820633.jpg,2.0080224,37.5063643,546.8,Accepted
2022-01-08,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1600,http://classic.ona.io/api/v1/files/24215085?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1641622354262.jpg,Yes,Moderate (Grade 2),1400,http://classic.ona.io/api/v1/files/24215086?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1641622376540.jpg,2.010305,37.5040733,525.5,Accepted
2022-06-25,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1600,http://classic.ona.io/api/v1/files/27498600?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1656141060178.jpg,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/27498601?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1656141086789.jpg,2.010205,37.503685,516.5,Accepted
2022-02-12,Kenya,Korr,Bulewa Bartolemeo,Korr,No,,,,No,,,,Yes,Moderate (Grade 2),1800,http://classic.ona.io/api/v1/files/24753765?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1644646734112.jpg,Yes,Moderate (Grade 2),3200,http://classic.ona.io/api/v1/files/24753766?filename=kaznet/attachments/608475_livestock_price_quality_2021_07_19/1644646766674.jpg,2.0103708,37.504063,517,Accepted
