Crop ,Indicator,Indicator Name,Region Name,province_id,Region - RegionId,Scale,Units,2011,2012,2013,2014,2015,2016,2017
Millet,Expected Production,Millet  Expected Production,Lusaka Province,33,ZM-09,units,Mt,24.20117827,206.5967557,,47.68761453,0.693473301,0,0.772854297
Millet,Expected Production,Millet  Expected Production,Muchinga Province,34,ZM-10,units,Mt,,8244.665675,7515.117562,10139.88105,7933.924539,6654.264082,9407.992301
Millet,Expected Production,Millet  Expected Production,Northern Province,35,ZM-05,units,Mt,27967.41348,11187.1459,8973.708452,12405.23946,16548.9045,11705.21548,10463.86143
Millet,Expected Production,Millet  Expected Production,North-Western Province,36,ZM-06,units,Mt,547.3993038,507.1221154,200.4465508,251.4599263,182.0676126,137.9313074,124.1390351
Millet,Expected Production,Millet  Expected Production,Southern Province,37,ZM-07,units,Mt,722.1413106,2082.970375,820.7440044,1099.8286,756.9375312,769.5560771,1000.275854
Millet,Expected Production,Millet  Expected Production,Western Province,38,ZM-01,units,Mt,3957.637466,2606.610002,2449.155131,2616.581559,1905.133684,6990.18011,8149.875813
Millet,Expected Production,Millet Yield Rate,Zambia,,ZM,units,MT/HA,0.882360304,0.793947264,0.707515345,0.774074867,0.680245447,0.55782506,0.61607692
Millet,Yield Rate,Millet Yield Rate,Central Province,29,ZM-02,units,MT/HA,0.926725631,0.973344149,0.883640811,0.691022458,0.673969185,0.478318388,0.788956637
Millet,Yield Rate,Millet Yield Rate,Copperbelt Province,30,ZM-08,units,MT/HA,0.417851923,1.66044944,1.073110726,0.868718867,0.585466705,1.223835249,0.557188083
Millet,Yield Rate,Millet Yield Rate,Eastern Province,31,ZM-03,units,MT/HA,0.902816667,0.356507435,0.461288001,1.337384438,0.574498669,0.537593184,0.416036294
Millet,Yield Rate,Millet Yield Rate,Luapula Province,32,ZM-04,units,MT/HA,0.921496429,1.210405022,0.914184538,1.073916414,1.341286948,0.878818422,1.066415941
Millet,Yield Rate,Millet Yield Rate,Lusaka Province,33,ZM-09,units,MT/HA,0.217013943,1.304915956,,0.479177732,0.054214296,0,0.116171397
Millet,Yield Rate,Millet Yield Rate,Muchinga Province,34,ZM-10,units,MT/HA,,1.013367291,0.968768091,0.984067088,0.988819203,0.891491849,0.935742036
Millet,Yield Rate,Millet Yield Rate,Northern Province,35,ZM-05,units,MT/HA,1.0772971,1.056468504,0.761478326,0.973858555,0.915042674,0.806626216,0.812161996
Millet,Yield Rate,Millet Yield Rate,North-Western Province,36,ZM-06,units,MT/HA,0.946385793,1.526760311,1.270806069,1.074384628,0.737237606,1.024897087,0.354615444
Millet,Yield Rate,Millet Yield Rate,Southern Province,37,ZM-07,units,MT/HA,0.604500019,0.565293024,0.349144368,0.512053399,0.159808448,0.3417856,0.316110877
